objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Black Sonata","231218","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","60361672","6.56932","7.53525","2.0877","954","5260","thing","Black Sonata","1","1","30","30","30","2017","1","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Blackout: Hong Kong","262215","0","8","0","1","0","0","0","0","0","0","0","3","","","","","","57773517","6.93284","7.4761","3.4755","477","8060","thing","Blackout: Hong Kong","1","4","150","150","75","2018","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bohnanza","11","0","17","0","1","0","0","0","0","0","0","0","3","","","","","","62336619","6.9341","7.04161","1.6738","476","61214","thing","Bohnanza","2","7","45","45","45","1997","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bonfire","304420","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","77591661","7.0675","7.80986","3.6284","353","7282","thing","Bonfire","1","4","100","100","70","2020","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Boonlake","343905","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","90858394","6.53611","7.85117","3.7159","1012","3082","thing","Boonlake","1","4","160","160","80","2021","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bora Bora","127060","0","3","0","1","0","0","0","0","0","0","0","5","Attack-ish","","","","","38886296","7.23582","7.56757","3.7386","235","12237","thing","Bora Bora","2","4","120","120","60","2013","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Brass: Birmingham","224517","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","57080464","8.42141","8.66133","3.9049","3","40181","thing","Brass: Birmingham","2","4","120","120","60","2018","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Brass: Lancashire","28720","0","1","0","1","1","0","0","0","0","0","0","4","Q needs to watch video play through, but sounds good to J. There's a 2-player variant on BGG. Also, there's a deluxe version that has a 2-player board. Re-implemented by Age of Industry, which some say is simpler.","","","","","39095077","7.96432","8.18393","3.8613","20","27871","thing","Brass: Lancashire","2","4","120","120","60","2007","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Break the Code","227466","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","91901724","5.99103","7.23529","1.6471","2608","1370","thing","Break the Code","2","4","15","15","15","2017","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Bruges","136888","0","5","0","1","0","0","0","0","0","0","0","3","Feld! Cards have multiple uses. Canal building. Maybe a tad attack-ish, but I guess not enough for Rhado to mention.","","","","","38711196","7.14539","7.4243","2.7476","291","11435","thing","Bruges","2","4","60","60","60","2013","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Burgle Bros 2: The Casino Capers","286537","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84051503","6.17856","7.53173","2.5556","1869","3657","thing","Burgle Bros 2: The Casino Capers","1","4","70","70","45","2021","1,2,3,4","3","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Burgle Bros.","172081","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","32056379","7.16562","7.50533","2.3214","275","15200","thing","Burgle Bros.","1","4","90","90","45","2015","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Café","284936","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","91901700","6.20691","7.46583","2","1774","2156","thing","Café","1","4","45","45","20","2020","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Calico","283155","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","74842990","7.34091","7.73609","2.1979","176","18068","thing","Calico","1","4","45","45","30","2020","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Calimala","199383","0","1","0","1","0","0","0","0","0","0","0","4","2017 3 players?","","","","","44015868","6.38836","7.18998","2.8103","1290","2326","thing","Calimala","3","5","75","75","75","2017","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Call to Adventure","238992","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","63708539","6.638","7.1708","2.0085","849","8985","thing","Call to Adventure","1","4","60","60","30","2019","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Canvas","290236","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","78495983","6.86107","7.49051","1.6479","554","9235","thing","Canvas","1","5","30","30","30","2021","1,2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne: The Castle","7717","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","51540961","6.77891","7.09891","1.9834","646","11687","thing","Carcassonne: The Castle","2","2","30","30","30","2003","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carthago: Merchants & Guilds","233006","0","1","0","1","0","0","0","0","0","0","0","3","Action Point Allowance System
Deck / Pool Building
Hand Management
Pick-up and Deliver
Set Collection","","","","","45073977","5.81574","6.8267","2.9583","3759","1288","thing","Carthago: Merchants & Guilds","2","4","90","90","60","2017","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cartographers","263918","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","63709200","7.48295","7.71022","1.8918","111","32263","thing","Cartographers","1","100","45","45","30","2019","1,2,3,4,5,6,7,8,9","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cascadia","295947","0","17","0","1","0","0","0","0","0","0","0","3","","","","","","89210697","7.48365","8.07963","1.9163","110","11192","thing","Cascadia","1","4","45","45","30","2021","1,2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Castell","238638","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","51490101","6.47164","7.48238","3.2568","1137","2328","thing","Castell","2","4","90","90","60","2018","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Castles of Burgundy","84876","10","25","0","1","0","0","0","0","0","0","0","3","","","","","","32057171","8.00659","8.12666","2.9981","16","68285","thing","The Castles of Burgundy","2","4","90","90","30","2011","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Castles of Burgundy: The Dice Game","232988","0","18","0","1","0","0","0","0","0","0","0","4","Sure. Why not?","","","","","45096498","6.42648","6.90569","1.8308","1213","6582","thing","The Castles of Burgundy: The Dice Game","1","5","30","30","15","2017","1,2,3,4,5","1,2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Castles of Mad King Ludwig","155426","0","7","0","1","0","0","0","0","0","0","0","3","","","","","","32056364","7.37122","7.53949","2.6545","160","29582","thing","Castles of Mad King Ludwig","1","4","90","90","90","2014","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Castles of Tuscany","300327","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","77386887","6.49535","7.33718","2.1884","1092","4135","thing","The Castles of Tuscany","2","4","60","60","45","2020","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Caverna: Cave vs Cave","220520","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","44292107","6.75983","7.1565","2.5935","674","11719","thing","Caverna: Cave vs Cave","1","2","40","40","20","2017","1,2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Caverna: The Cave Farmers","102794","0","4","0","1","0","0","0","0","0","0","0","2","","","","","","38691975","7.82032","7.99707","3.7876","35","38499","thing","Caverna: The Cave Farmers","1","7","210","210","30","2013","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Chimera Station","163642","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","50731270","6.54333","7.30835","3.1519","996","4087","thing","Chimera Station","2","4","90","90","60","2017","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Chronicles of Crime","239188","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","57080353","7.32371","7.71314","2.0699","185","29599","thing","Chronicles of Crime","1","4","90","90","60","2018","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Chronicles of Crime: Noir","249811","0","","0","1","0","0","0","0","0","0","0","3","","","","","","84051459","6.51245","8.04968","2","0","8134","thing","Chronicles of Crime: Noir","1","4","90","90","60","2018","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Chronicles of Crime: Welcome to Redview","258089","0","","0","1","0","0","0","0","0","0","0","3","","","","","","84051452","6.16829","7.63538","1.9091","0","6413","thing","Chronicles of Crime: Welcome to Redview","1","4","90","90","30","2018","1,2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Circadians: First Light","264052","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","64794007","6.60776","7.67341","3.4569","893","3401","thing","Circadians: First Light","1","4","90","90","60","2019","1,2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Circle the Wagons","213266","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","44140072","6.48256","7.14798","1.6","1117","5945","thing","Circle the Wagons","2","2","15","15","15","2017","1,2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Circus Flohcati","337","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","90931885","6.16154","6.62236","1.2233","1921","3566","thing","Circus Flohcati","2","5","15","15","15","1998","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Citrus","145588","0","3","0","1","0","0","0","0","0","0","0","2","","","","","","41068945","6.21705","7.10527","2.5","1736","2045","thing","Citrus","2","5","60","60","60","2013","2,3,4","","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The City","103649","0","7","0","1","0","0","0","0","0","0","0","5","race for points  BUT plays in 20 minutes","","","","","57214646","6.08236","6.52969","1.5608","2207","3174","thing","The City","2","5","30","30","30","2011","2,3,4,5","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Claim","233961","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","77451260","6.4593","7.00511","1.7361","1156","7670","thing","Claim","2","2","25","25","25","2017","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Clank!: Legacy – Acquisitions Incorporated","266507","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","72944096","7.87336","8.67984","2.686","30","11008","thing","Clank!: Legacy – Acquisitions Incorporated","2","4","120","120","90","2019","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Clans of Caledonia","216132","0","5","0","1","0","0","0","0","0","0","0","3","KS 2017","","","","","39960535","7.72106","7.98275","3.4631","51","19630","thing","Clans of Caledonia","1","4","120","120","30","2017","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"CloudAge","316858","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","78577603","6.32967","7.41911","2.7778","1425","2960","thing","CloudAge","1","4","100","100","60","2020","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Coal Baron","143515","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","42406127","6.7674","7.28193","2.5543","663","5282","thing","Coal Baron","2","4","75","75","60","2013","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cockroach Poker","11971","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","67142826","6.5415","6.7544","1.1133","1001","16618","thing","Cockroach Poker","2","6","20","20","20","2004","3,4,5,6","5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames: Duet","224037","0","30","0","1","0","0","0","0","0","0","0","3","","","","","","46056095","7.32231","7.52123","1.3494","187","34799","thing","Codenames: Duet","2","2","30","30","15","2017","2","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Coimbra","245638","0","5","0","1","0","0","0","0","0","0","0","4","multi-use dice?!? from some of the designers of GAH and Lorenzo","","","","","49285512","7.32694","7.66738","3.2743","183","13288","thing","Coimbra","2","4","90","90","60","2018","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Coin & Crown","223514","0","1","0","1","0","0","0","0","0","0","0","1","","","","","","49286083","5.60212","6.65078","2.25","7389","437","thing","Coin & Crown","1","4","60","60","45","2018","1,2,3,4","","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Columba","127432","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","81421203","5.61478","6.91903","2.25","6951","254","thing","Columba","2","4","30","30","30","2012","2,3","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Concordia","124361","0","9","0","1","0","0","0","0","0","0","0","3","","","","","","38670096","7.96772","8.1225","3.009","19","37484","thing","Concordia","2","5","100","100","100","2013","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","expansions:
Britannia/Germania
Salsa: Byzantium/Hispania
Aegyptus/Creta
Venus: Hellas/Ionium","","","","","",""
"Cooper Island","269511","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","67144646","6.84063","7.67219","4.1864","570","5274","thing","Cooper Island","1","4","120","120","60","2019","1,2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Copenhagen: Roll & Write","282463","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","77128357","5.8121","6.66844","1.3636","3785","1449","thing","Copenhagen: Roll & Write","2","4","40","40","20","2019","2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Core Worlds","98351","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84051509","6.66865","7.17668","2.8941","809","5074","thing","Core Worlds","2","5","120","120","60","2011","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Corinth","269725","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","62336638","6.22329","6.76347","1.7209","1717","4435","thing","Corinth","2","4","30","30","20","2019","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cosmic Colonies","283095","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","72944045","5.88386","7.194","1.8889","3207","1313","thing","Cosmic Colonies","1","5","45","45","30","2020","3,4,5","","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Covert","187653","0","2","0","1","0","0","0","0","0","0","0","3","Spy game! Worker placement, missions to complete (like contracts)","","","","","46077442","6.23147","7.11673","3","1690","2611","thing","Covert","2","4","90","90","45","2016","2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
